Time,Packet_Count
0.0,6
1.0,4
3.0,6
4.0,6
6.0,6
7.0,6
9.0,2
28.0,2
29.0,4
30.0,2
31.0,2
32.0,2
33.0,2
34.0,2
35.0,2
36.0,2
37.0,2
38.0,2
39.0,2
40.0,2
41.0,2
42.0,2
43.0,2
44.0,2
45.0,2
46.0,7
47.0,2
53.0,5
69.0,90
70.0,90
71.0,90
72.0,90
74.0,4
78.0,2
79.0,2
80.0,2
81.0,2
95.0,1
96.0,1
97.0,90
98.0,91
99.0,90
100.0,90
101.0,90
102.0,91
103.0,90
104.0,90
105.0,90
106.0,90
107.0,94
108.0,90
109.0,90
110.0,91
111.0,90
112.0,90
123.0,20
124.0,4
125.0,40
126.0,1
127.0,32
128.0,50
132.0,77
133.0,7
134.0,56
135.0,5
137.0,13
139.0,12
141.0,23
144.0,68
147.0,40
150.0,157
151.0,47
155.0,28
156.0,18
157.0,5
158.0,1
161.0,23
162.0,7
165.0,22
166.0,49
167.0,13
168.0,16
169.0,7
170.0,59
171.0,9
181.0,5
183.0,82
198.0,9
203.0,2
206.0,74
208.0,57
